Year,show,Ethnicity,actors,theater,type,nonprofit
2012-2013,Golden Boy,African American,0,Belasco Theatre (Lincoln Center),Play,0
2012-2013,Golden Boy,Latino,2,Belasco Theatre (Lincoln Center),Play,0
2012-2013,Golden Boy,Asian American,0,Belasco Theatre (Lincoln Center),Play,0
2012-2013,Golden Boy,Other,1,Belasco Theatre (Lincoln Center),Play,0
2012-2013,The Nance,Caucasian,12,Lyceum Theatre (Lincoln Center),Play,0
2012-2013,The Nance,African American,0,Lyceum Theatre (Lincoln Center),Play,0
2012-2013,The Nance,Latino,1,Lyceum Theatre (Lincoln Center),Play,0
2012-2013,The Nance,Asian American,0,Lyceum Theatre (Lincoln Center),Play,0
2012-2013,The Nance,Other,0,Lyceum Theatre (Lincoln Center),Play,0
2012-2013,Breakfast at Tiffany's,Caucasian,12,Cort Theatre,Play,0
2012-2013,Breakfast at Tiffany's,African American,0,Cort Theatre,Play,0
2012-2013,Breakfast at Tiffany's,Latino,1,Cort Theatre,Play,0
2012-2013,Breakfast at Tiffany's,Asian American,2,Cort Theatre,Play,0
2012-2013,Breakfast at Tiffany's,Other,0,Cort Theatre,Play,0
2012-2013,Vanya & Sonia & Masha & Spike,Caucasian,9,Golden Theatre,Play,0
2012-2013,Vanya & Sonia & Masha & Spike,African American,2,Golden Theatre,Play,0
2012-2013,Vanya & Sonia & Masha & Spike,Latino,0,Golden Theatre,Play,0
2012-2013,Vanya & Sonia & Masha & Spike,Asian American,0,Golden Theatre,Play,0
2012-2013,Vanya & Sonia & Masha & Spike,Other,0,Golden Theatre,Play,0
2012-2013,The Trip to Bountiful,Caucasian,0,Stephen Sondheim Theatre,Play,0
2012-2013,The Trip to Bountiful,African American,10,Stephen Sondheim Theatre,Play,0
2012-2013,The Trip to Bountiful,Latino,0,Stephen Sondheim Theatre,Play,0
2012-2013,The Trip to Bountiful,Asian American,0,Stephen Sondheim Theatre,Play,0
2012-2013,The Trip to Bountiful,Other,0,Stephen Sondheim Theatre,Play,0
2012-2013,The Big Knife,Caucasian,14,American Airlines Theatre,Play,0
2012-2013,The Big Knife,African American,1,American Airlines Theatre,Play,0
2012-2013,The Big Knife,Latino,1,American Airlines Theatre,Play,0
2012-2013,The Big Knife,Asian American,0,American Airlines Theatre,Play,0
2012-2013,The Big Knife,Other,0,American Airlines Theatre,Play,0
2012-2013,Lucky Guy,Caucasian,15,Broadhurst Theatre,Play,0
2012-2013,Lucky Guy,African American,3,Broadhurst Theatre,Play,0
2012-2013,Lucky Guy,Latino,0,Broadhurst Theatre,Play,0
2012-2013,Lucky Guy,Asian American,0,Broadhurst Theatre,Play,0
2012-2013,Lucky Guy,Other,0,Broadhurst Theatre,Play,0
2012-2013,Harvey,Caucasian,15,Studio 54,Play,0
2012-2013,Harvey,African American,0,Studio 54,Play,0
2012-2013,Harvey,Latino,0,Studio 54,Play,0
2012-2013,Harvey,Asian American,0,Studio 54,Play,0
2012-2013,Harvey,Other,0,Studio 54,Play,0
2012-2013,The Anarchist,Caucasian,3,Golden Theatre,Play,0
2012-2013,The Anarchist,African American,0,Golden Theatre,Play,0
2012-2013,The Anarchist,Latino,0,Golden Theatre,Play,0
2012-2013,The Anarchist,Asian American,0,Golden Theatre,Play,0
2012-2013,The Anarchist,Other,0,Golden Theatre,Play,0
2012-2013,Dead Accounts,Caucasian,8,The Music Box,Play,0
2012-2013,Dead Accounts,African American,0,Walter Kerr Theatre,Play,0
2012-2013,Dead Accounts,Latino,0,Walter Kerr Theatre,Play,0
2012-2013,Dead Accounts,Asian American,0,Walter Kerr Theatre,Play,0
2012-2013,Dead Accounts,Other,0,Walter Kerr Theatre,Play,0
2012-2013,The Heiress,Caucasian,11,Walter Kerr Theatre,Play,0
2012-2013,The Heiress,African American,0,Walter Kerr Theatre,Play,0
2012-2013,The Heiress,Latino,0,Walter Kerr Theatre,Play,0
2012-2013,The Heiress,Asian American,0,Walter Kerr Theatre,Play,0
2012-2013,The Heiress,Other,0,Walter Kerr Theatre,Play,0
2012-2013,Who's Afraid of Virginia Woolf,Caucasian,8,Booth Theatre,Play,0
2012-2013,Who's Afraid of Virginia Woolf,African American,0,Booth Theatre,Play,0
2012-2013,Who's Afraid of Virginia Woolf,Latino,0,Booth Theatre,Play,0
2012-2013,Who's Afraid of Virginia Woolf,Asian American,0,Booth Theatre,Play,0
2012-2013,Who's Afraid of Virginia Woolf,Other,0,Booth Theatre,Play,0
2012-2013,Grace,Caucasian,7,Cort Theatre,Play,0
2012-2013,Grace,African American,0,Cort Theatre,Play,0
2012-2013,Grace,Latino,0,Cort Theatre,Play,0
2012-2013,Grace,Asian American,0,Cort Theatre,Play,0
2012-2013,Grace,Other,0,Cort Theatre,Play,0
2012-2013,Picnic,Caucasian,15,American Airlines Theatre,Play,0
2012-2013,Picnic,African American,0,American Airlines Theatre,Play,0
2012-2013,Picnic,Latino,0,American Airlines Theatre,Play,0
2012-2013,Picnic,Asian American,0,American Airlines Theatre,Play,0
2012-2013,Picnic,Other,0,American Airlines Theatre,Play,0
2012-2013,The Other Place by Sharr White,Caucasian,4,Samuel J. Friedman Theater,Play,0
2012-2013,The Other Place by Sharr White,African American,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Other Place by Sharr White,Latino,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Other Place by Sharr White,Asian American,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Other Place by Sharr White,Other,0,Samuel J. Friedman Theater,Play,0
2012-2013,Ann ,Caucasian,1,The Vivian Beaumont,Play,0
2012-2013,Ann ,African American,0,The Vivian Beaumont,Play,0
2012-2013,Ann ,Latino,0,The Vivian Beaumont,Play,0
2012-2013,Ann ,Asian American,0,The Vivian Beaumont,Play,0
2012-2013,Ann ,Other,0,The Vivian Beaumont,Play,0
2012-2013,The Testament of Mary,Caucasian,1,Walter Kerr Theatre,Play,0
2012-2013,The Testament of Mary,African American,0,Walter Kerr Theatre,Play,0
2012-2013,The Testament of Mary,Latino,0,Walter Kerr Theatre,Play,0
2012-2013,The Testament of Mary,Asian American,0,Walter Kerr Theatre,Play,0
2012-2013,The Testament of Mary,Other,0,Walter Kerr Theatre,Play,0
2012-2013,The Assembled Parties,Caucasian,12,Samuel J. Friedman Theater,Play,0
2012-2013,The Assembled Parties,African American,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Assembled Parties,Latino,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Assembled Parties,Asian American,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Assembled Parties,Other,0,Samuel J. Friedman Theater,Play,0
2012-2013,Macbeth,Caucasian,4,Ethel Barrymore Theatre,Play,0
2012-2013,Macbeth,African American,0,Ethel Barrymore Theatre,Play,0
2012-2013,Macbeth,Latino,0,Ethel Barrymore Theatre,Play,0
2012-2013,Macbeth,Asian American,0,Ethel Barrymore Theatre,Play,0
2012-2013,Macbeth,Other,0,Ethel Barrymore Theatre,Play,0
2012-2013,Orphans,Caucasian,6,Gerald Schoenfeld Theatre,Play,0
2012-2013,Orphans,African American,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,Orphans,Latino,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,Orphans,Asian American,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,Orphans,Other,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,I'll Eat You Last,Caucasian,1,Booth Theatre,Play,0
2012-2013,I'll Eat You Last,African American,0,Booth Theatre,Play,0
2012-2013,I'll Eat You Last,Latino,0,Booth Theatre,Play,0
2012-2013,I'll Eat You Last,Asian American,0,Booth Theatre,Play,0
2012-2013,I'll Eat You Last,Other,0,Booth Theatre,Play,0
2014-2015,Holler If Ya Hear Me,Caucasian,2,Palace Theatre,Musical,0
2014-2015,Holler If Ya Hear Me,African American,25,Palace Theatre,Musical,0
2014-2015,Holler If Ya Hear Me,Latino,0,Palace Theatre,Musical,0
2014-2015,Holler If Ya Hear Me,Asian American,0,Palace Theatre,Musical,0
2014-2015,Holler If Ya Hear Me,Other,0,Palace Theatre,Musical,0
2014-2015,On The Town ,Caucasian,27,Lyric Theatre ,Musical,0
2014-2015,On The Town ,African American,3,Lyric Theatre ,Musical,0
2014-2015,On The Town ,Latino,0,Lyric Theatre ,Musical,0
2014-2015,On The Town ,Asian American,1,Lyric Theatre ,Musical,0
2014-2015,On The Town ,Other,0,Lyric Theatre ,Musical,0
2014-2015,Side Show,Caucasian,25,St. James Theatre,Musical,0
2014-2015,Side Show,African American,3,St. James Theatre,Musical,0
2014-2015,Side Show,Latino,1,St. James Theatre,Musical,0
2014-2015,Side Show,Asian American,1,St. James Theatre,Musical,0
2014-2015,Side Show,Other,0,St. James Theatre,Musical,0
2014-2015,Honeymoon In Vegas,Caucasian,19,Nederlander Theatre ,Musical,0
2014-2015,Honeymoon In Vegas,African American,1,Nederlander Theatre ,Musical,0
2014-2015,Honeymoon In Vegas,Latino,1,Nederlander Theatre ,Musical,0
2014-2015,Honeymoon In Vegas,Asian American,3,Nederlander Theatre ,Musical,0
2014-2015,Honeymoon In Vegas,Other,0,Nederlander Theatre ,Musical,0
2014-2015,Doctor Zhivago ,Caucasian,29,The Broadway Theatre,Musical,0
2014-2015,Doctor Zhivago ,African American,0,The Broadway Theatre,Musical,0
2014-2015,Doctor Zhivago ,Latino,0,The Broadway Theatre,Musical,0
2014-2015,Doctor Zhivago ,Asian American,3,The Broadway Theatre,Musical,0
2014-2015,Doctor Zhivago ,Other,0,The Broadway Theatre,Musical,0
2014-2015,The Visit,Caucasian,21,Lyceum Theatre (Lincoln Center),Musical,0
2014-2015,The Visit,African American,0,Lyceum Theatre (Lincoln Center),Musical,0
2014-2015,The Visit,Latino,1,Lyceum Theatre (Lincoln Center),Musical,0
2014-2015,The Visit,Asian American,0,Lyceum Theatre (Lincoln Center),Musical,0
2014-2015,The Visit,Other,1,Lyceum Theatre (Lincoln Center),Musical,0
2014-2015,It Shoulda Been You,Caucasian,17,Brooks Atkinson Theater,Musical,0
2014-2015,It Shoulda Been You,African American,1,Brooks Atkinson Theater,Musical,0
2014-2015,It Shoulda Been You,Latino,0,Brooks Atkinson Theater,Musical,0
2014-2015,It Shoulda Been You,Asian American,0,Brooks Atkinson Theater,Musical,0
2014-2015,It Shoulda Been You,Other,0,Brooks Atkinson Theater,Musical,0
2014-2015,Fun Home,Caucasian,12,Circle In The Square,Musical,0
2014-2015,Fun Home,African American,0,Circle In The Square,Musical,0
2014-2015,Fun Home,Latino,2,Circle In The Square,Musical,0
2014-2015,Fun Home,Asian American,0,Circle In The Square,Musical,0
2014-2015,Fun Home,Other,0,Circle In The Square,Musical,0
2014-2015,An American In Paris,Caucasian,31,Palace Theatre,Musical,0
2014-2015,An American In Paris,African American,2,Palace Theatre,Musical,0
2014-2015,An American In Paris,Latino,0,Palace Theatre,Musical,0
2014-2015,An American In Paris,Asian American,0,Palace Theatre,Musical,0
2014-2015,An American In Paris,Other,0,Palace Theatre,Musical,0
2014-2015,Something Rotten!,Caucasian,27,St. James Theatre,Musical,0
2014-2015,Something Rotten!,African American,2,St. James Theatre,Musical,0
2014-2015,Something Rotten!,Latino,0,St. James Theatre,Musical,0
2014-2015,Something Rotten!,Asian American,0,St. James Theatre,Musical,0
2014-2015,Something Rotten!,Other,0,St. James Theatre,Musical,0
2014-2015,Gigi,Caucasian,18,Neil Simon Theatre,Musical,0
2014-2015,Gigi,African American,1,Neil Simon Theatre,Musical,0
2014-2015,Gigi,Latino,1,Neil Simon Theatre,Musical,0
2014-2015,Gigi,Asian American,2,Neil Simon Theatre,Musical,0
2014-2015,Gigi,Other,0,Neil Simon Theatre,Musical,0
2014-2015,Finding Neverland,Caucasian,29,Lunt Fontanne Theatre,Musical,0
2014-2015,Finding Neverland,African American,0,Lunt Fontanne Theatre,Musical,0
2014-2015,Finding Neverland,Latino,1,Lunt Fontanne Theatre,Musical,0
2014-2015,Finding Neverland,Asian American,0,Lunt Fontanne Theatre,Musical,0
2014-2015,Finding Neverland,Other,0,Lunt Fontanne Theatre,Musical,0
2014-2015,The King And I,Caucasian,7,The Vivian Beaumont,Musical,1
2014-2015,The King And I,African American,0,The Vivian Beaumont,Musical,1
2014-2015,The King And I,Latino,0,The Vivian Beaumont,Musical,1
2014-2015,The King And I,Asian American,62,The Vivian Beaumont,Musical,1
2014-2015,The King And I,Other,0,The Vivian Beaumont,Musical,1
2014-2015,The Last Ship,Caucasian,29,Neil Simon Theatre,Musical,0
2014-2015,The Last Ship,African American,0,Neil Simon Theatre,Musical,0
2014-2015,The Last Ship,Latino,0,Neil Simon Theatre,Musical,0
2014-2015,The Last Ship,Asian American,0,Neil Simon Theatre,Musical,0
2014-2015,The Last Ship,Other,0,Neil Simon Theatre,Musical,0
2014-2015,It's Only A Play,Caucasian,10,Gerald Schoenfeld Theatre,Play,0
2014-2015,It's Only A Play,African American,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,It's Only A Play,Latino,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,It's Only A Play,Asian American,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,It's Only A Play,Other,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,You Can't Take It With You,Caucasian,19,Longacre Theatre,Play,0
2014-2015,You Can't Take It With You,African American,6,Longacre Theatre,Play,0
2014-2015,You Can't Take It With You,Latino,0,Longacre Theatre,Play,0
2014-2015,You Can't Take It With You,Asian American,0,Longacre Theatre,Play,0
2014-2015,You Can't Take It With You,Other,0,Longacre Theatre,Play,0
2014-2015,The River ,Caucasian,3,Circle In The Square,Play,0
2014-2015,The River ,African American,2,Circle In The Square,Play,0
2014-2015,The River ,Latino,0,Circle In The Square,Play,0
2014-2015,The River ,Asian American,0,Circle In The Square,Play,0
2014-2015,The River ,Other,0,Circle In The Square,Play,0
2014-2015,Curious Incident Of The Dog In The Night Time,Caucasian,0,Ethel Barrymore Theatre,Play,0
2014-2015,Curious Incident Of The Dog In The Night Time,African American,2,Ethel Barrymore Theatre,Play,0
2014-2015,Curious Incident Of The Dog In The Night Time,Latino,2,Ethel Barrymore Theatre,Play,0
2014-2015,Curious Incident Of The Dog In The Night Time,Asian American,0,Ethel Barrymore Theatre,Play,0
2014-2015,Curious Incident Of The Dog In The Night Time,Other,0,Ethel Barrymore Theatre,Play,0
2014-2015,The Heidi Chronicles,Caucasian,10,The Music Box,Play,0
2014-2015,The Heidi Chronicles,African American,0,The Music Box,Play,0
2014-2015,The Heidi Chronicles,Latino,0,The Music Box,Play,0
2014-2015,The Heidi Chronicles,Asian American,1,The Music Box,Play,0
2014-2015,The Heidi Chronicles,Other,0,The Music Box,Play,0
2014-2015,Fish In The dark,Caucasian,24,Cort Theatre,Play,0
2014-2015,Fish In The dark,African American,0,Cort Theatre,Play,0
2014-2015,Fish In The dark,Latino,5,Cort Theatre,Play,0
2014-2015,Fish In The dark,Asian American,0,Cort Theatre,Play,0
2014-2015,Fish In The dark,Other,0,Cort Theatre,Play,0
2014-2015,This Is Our Youth,Caucasian,5,Cort Theatre,Play,0
2014-2015,This Is Our Youth,African American,0,Cort Theatre,Play,0
2014-2015,This Is Our Youth,Latino,0,Cort Theatre,Play,0
2014-2015,This Is Our Youth,Asian American,0,Cort Theatre,Play,0
2014-2015,This Is Our Youth,Other,0,Cort Theatre,Play,0
2014-2015,A Delicate Balance,Caucasian,11,Golden Theatre,Play,0
2014-2015,A Delicate Balance,African American,0,Golden Theatre,Play,0
2014-2015,A Delicate Balance,Latino,0,Golden Theatre,Play,0
2014-2015,A Delicate Balance,Asian American,0,Golden Theatre,Play,0
2014-2015,A Delicate Balance,Other,0,Golden Theatre,Play,0
2014-2015,The Elephant Man,Caucasian,15,Booth Theatre,Play,0
2014-2015,The Elephant Man,African American,0,Booth Theatre,Play,0
2014-2015,The Elephant Man,Latino,0,Booth Theatre,Play,0
2014-2015,The Elephant Man,Asian American,0,Booth Theatre,Play,0
2014-2015,The Elephant Man,Other,0,Booth Theatre,Play,0
2014-2015,The Audience,Caucasian,18,Gerald Schoenfeld Theatre,Play,0
2014-2015,The Audience,African American,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,The Audience,Latino,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,The Audience,Asian American,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,The Audience,Other,0,Gerald Schoenfeld Theatre,Play,0
2014-2015,Hand To God,Caucasian,9,Booth Theatre,Play,0
2014-2015,Hand To God,African American,0,Booth Theatre,Play,0
2014-2015,Hand To God,Latino,0,Booth Theatre,Play,0
2014-2015,Hand To God,Asian American,0,Booth Theatre,Play,0
2014-2015,Hand To God,Other,0,Booth Theatre,Play,0
2014-2015,Living On Love,Caucasian,10,Longacre Theatre,Play,0
2014-2015,Living On Love,African American,0,Longacre Theatre,Play,0
2014-2015,Living On Love,Latino,0,Longacre Theatre,Play,0
2014-2015,Living On Love,Asian American,0,Longacre Theatre,Play,0
2014-2015,Living On Love,Other,0,Longacre Theatre,Play,0
2014-2015,Wolf Hall,Caucasian,23,Winter Garden Theatre,Play,0
2014-2015,Wolf Hall,African American,0,Winter Garden Theatre,Play,0
2014-2015,Wolf Hall,Latino,0,Winter Garden Theatre,Play,0
2014-2015,Wolf Hall,Asian American,0,Winter Garden Theatre,Play,0
2014-2015,Wolf Hall,Other,0,Winter Garden Theatre,Play,0
2014-2015,Skylight,Caucasian,6,Golden Theatre,Play,0
2014-2015,Skylight,African American,0,Golden Theatre,Play,0
2014-2015,Skylight,Latino,0,Golden Theatre,Play,0
2014-2015,Skylight,Asian American,0,Golden Theatre,Play,0
2014-2015,Skylight,Other,0,Golden Theatre,Play,0
2014-2015,The Country House,Caucasian,5,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,African American,1,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,Latino,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,Asian American,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,Other,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Caucasian,11,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,African American,5,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Latino,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Asian American,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Other,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Caucasian,2,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,African American,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Latino,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Asian American,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Other,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Real Thing,Caucasian,11,American Airlines Theatre,Play,1
2014-2015,The Real Thing,African American,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,Latino,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,Asian American,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,Other,0,American Airlines Theatre,Play,1
2014-2015,Disgraced,Caucasian,4,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,African American,2,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,Latino,0,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,Asian American,2,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,Other,1,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Love Letters,Caucasian,6,Brooks Atkinson Theater,Play,0
2014-2015,Love Letters,African American,0,Brooks Atkinson Theater,Play,0
2014-2015,Love Letters,Latino,0,Brooks Atkinson Theater,Play,0
2014-2015,Love Letters,Asian American,0,Brooks Atkinson Theater,Play,0
2014-2015,Love Letters,Other,0,Brooks Atkinson Theater,Play,0
2013-2014,A Time To Kill ,Caucasian,12,Golden Theatre,Play,0
2013-2014,A Time To Kill ,African American,5,Golden Theatre,Play,0
2013-2014,A Time To Kill ,Latino,0,Golden Theatre,Play,0
2013-2014,A Time To Kill ,Asian American,0,Golden Theatre,Play,0
2013-2014,A Time To Kill ,Other,0,Golden Theatre,Play,0
