theater,year,ethnicity,actors
Classic Stage Company,2012-2013,AFRICAN AMERICAN,0
Classic Stage Company,2012-2013,LATINO,0
Classic Stage Company,2012-2013,ASIAN AMERICAN,0
Classic Stage Company,2012-2013,OTHER,0
Classic Stage Company,2013-2014,CAUCASIAN,40
Classic Stage Company,2013-2014,AFRICAN AMERICAN,4
Classic Stage Company,2013-2014,LATINO,2
Classic Stage Company,2013-2014,ASIAN AMERICAN,2
Classic Stage Company,2013-2014,OTHER,0
Classic Stage Company,2014-2015,CAUCASIAN,46
Classic Stage Company,2014-2015,AFRICAN AMERICAN,2
Classic Stage Company,2014-2015,LATINO,1
Classic Stage Company,2014-2015,ASIAN AMERICAN,1
Classic Stage Company,2014-2015,OTHER,2
Lincoln Center,2006-2007,CAUCASIAN,17
Lincoln Center,2006-2007,AFRICAN AMERICAN,1
Lincoln Center,2006-2007,LATINO,2
Lincoln Center,2006-2007,ASIAN AMERICAN,1
Lincoln Center,2006-2007,OTHER,0
Lincoln Center,2007-2008,CAUCASIAN,7
Lincoln Center,2007-2008,AFRICAN AMERICAN,0
Lincoln Center,2007-2008,LATINO,0
Lincoln Center,2007-2008,ASIAN AMERICAN,0
Lincoln Center,2007-2008,OTHER,0
Lincoln Center,2008-2009,CAUCASIAN,23
Lincoln Center,2008-2009,AFRICAN AMERICAN,3
Lincoln Center,2008-2009,LATINO,3
Lincoln Center,2008-2009,ASIAN AMERICAN,1
Lincoln Center,2008-2009,OTHER,0
Lincoln Center,2009-2010,CAUCASIAN,18
Lincoln Center,2009-2010,AFRICAN AMERICAN,8
Lincoln Center,2009-2010,LATINO,0
Lincoln Center,2009-2010,ASIAN AMERICAN,0
Lincoln Center,2009-2010,OTHER,0
Lincoln Center,2010-2011,CAUCASIAN,24
Lincoln Center,2010-2011,AFRICAN AMERICAN,10
Lincoln Center,2010-2011,LATINO,1
Lincoln Center,2010-2011,ASIAN AMERICAN,0
Lincoln Center,2010-2011,OTHER,0
Lincoln Center,2011-2012,CAUCASIAN,36
Lincoln Center,2011-2012,AFRICAN AMERICAN,1
Lincoln Center,2011-2012,LATINO,3
Lincoln Center,2011-2012,ASIAN AMERICAN,2
Lincoln Center,2011-2012,OTHER,1
Lincoln Center,2012-2013,CAUCASIAN,24
Lincoln Center,2012-2013,AFRICAN AMERICAN,10
Lincoln Center,2012-2013,LATINO,1
Lincoln Center,2012-2013,ASIAN AMERICAN,0
Lincoln Center,2012-2013,OTHER,0
Lincoln Center,2013-2014,CAUCASIAN,63
Lincoln Center,2013-2014,AFRICAN AMERICAN,8
Lincoln Center,2013-2014,LATINO,5
Lincoln Center,2013-2014,ASIAN AMERICAN,6
Lincoln Center,2013-2014,OTHER,2
Lincoln Center,2014-2015,CAUCASIAN,31
Lincoln Center,2014-2015,AFRICAN AMERICAN,10
Lincoln Center,2014-2015,LATINO,0
Lincoln Center,2014-2015,ASIAN AMERICAN,72
Lincoln Center,2014-2015,OTHER,2
Lincoln Center,2014-2015,CAUCASIAN,31
MCC Theater,2006-2007,AFRICAN AMERICAN,0
MCC Theater,2006-2007,LATINO,0
MCC Theater,2006-2007,ASIAN AMERICAN,0
MCC Theater,2006-2007,OTHER,1
MCC Theater,2007-2008,CAUCASIAN,9
MCC Theater,2007-2008,AFRICAN AMERICAN,0
MCC Theater,2007-2008,LATINO,1
MCC Theater,2007-2008,ASIAN AMERICAN,1
MCC Theater,2007-2008,OTHER,0
MCC Theater,2008-2009,CAUCASIAN,13
MCC Theater,2008-2009,AFRICAN AMERICAN,0
MCC Theater,2008-2009,LATINO,1
MCC Theater,2008-2009,ASIAN AMERICAN,1
MCC Theater,2008-2009,OTHER,0
MCC Theater,2009-2010,CAUCASIAN,14
MCC Theater,2009-2010,AFRICAN AMERICAN,2
MCC Theater,2009-2010,LATINO,0
MCC Theater,2009-2010,ASIAN AMERICAN,0
MCC Theater,2009-2010,OTHER,0
MCC Theater,2010-2011,CAUCASIAN,9
MCC Theater,2010-2011,AFRICAN AMERICAN,1
MCC Theater,2010-2011,LATINO,0
MCC Theater,2010-2011,ASIAN AMERICAN,0
MCC Theater,2010-2011,OTHER,0
MCC Theater,2011-2012,CAUCASIAN,25
MCC Theater,2011-2012,AFRICAN AMERICAN,1
MCC Theater,2011-2012,LATINO,0
MCC Theater,2011-2012,ASIAN AMERICAN,0
MCC Theater,2011-2012,OTHER,0
MCC Theater,2012-2013,CAUCASIAN,13
MCC Theater,2012-2013,AFRICAN AMERICAN,3
MCC Theater,2012-2013,LATINO,0
MCC Theater,2012-2013,ASIAN AMERICAN,0
MCC Theater,2012-2013,OTHER,0
MCC Theater,2013-2014,CAUCASIAN,23
MCC Theater,2013-2014,AFRICAN AMERICAN,0
MCC Theater,2013-2014,LATINO,0
MCC Theater,2013-2014,ASIAN AMERICAN,0
MCC Theater,2013-2014,OTHER,0
MCC Theater,2014-2015,CAUCASIAN,21
MCC Theater,2014-2015,AFRICAN AMERICAN,0
MCC Theater,2014-2015,LATINO,0
MCC Theater,2014-2015,ASIAN AMERICAN,0
MCC Theater,2014-2015,OTHER,0
MTC,2006-2007,CAUCASIAN,50
MTC,2006-2007,AFRICAN AMERICAN,1
MTC,2006-2007,LATINO,0
MTC,2006-2007,ASIAN AMERICAN,1
MTC,2006-2007,OTHER,1
MTC,2007-2008,CAUCASIAN,37
MTC,2007-2008,AFRICAN AMERICAN,1
MTC,2007-2008,LATINO,0
MTC,2007-2008,ASIAN AMERICAN,1
MTC,2007-2008,OTHER,0
MTC,2008-2009,CAUCASIAN,33
MTC,2008-2009,AFRICAN AMERICAN,13
MTC,2008-2009,LATINO,2
MTC,2008-2009,ASIAN AMERICAN,0
MTC,2008-2009,OTHER,0
MTC,2009-2010,CAUCASIAN,34
MTC,2009-2010,AFRICAN AMERICAN,1
MTC,2009-2010,LATINO,0
MTC,2009-2010,ASIAN AMERICAN,0
MTC,2009-2010,OTHER,0
MTC,2010-2011,CAUCASIAN,20
MTC,2010-2011,AFRICAN AMERICAN,3
MTC,2010-2011,LATINO,0
MTC,2010-2011,ASIAN AMERICAN,0
MTC,2010-2011,OTHER,0
MTC,2011-2012,CAUCASIAN,46
MTC,2011-2012,AFRICAN AMERICAN,5
MTC,2011-2012,LATINO,2
MTC,2011-2012,ASIAN AMERICAN,1
MTC,2011-2012,OTHER,0
MTC,2012-2013,CAUCASIAN,48
MTC,2012-2013,AFRICAN AMERICAN,7
MTC,2012-2013,LATINO,1
MTC,2012-2013,ASIAN AMERICAN,0
MTC,2012-2013,OTHER,1
MTC,2013-2014,CAUCASIAN,43
MTC,2013-2014,AFRICAN AMERICAN,3
MTC,2013-2014,LATINO,0
MTC,2013-2014,ASIAN AMERICAN,0
MTC,2013-2014,OTHER,0
MTC,2014-2015,CAUCASIAN,34
MTC,2014-2015,AFRICAN AMERICAN,7
MTC,2014-2015,LATINO,0
MTC,2014-2015,ASIAN AMERICAN,6
MTC,2014-2015,OTHER,0
New York Theatre Workshop,2006-2007,CAUCASIAN,19
New York Theatre Workshop,2006-2007,AFRICAN AMERICAN,1
New York Theatre Workshop,2006-2007,LATINO,1
New York Theatre Workshop,2006-2007,ASIAN AMERICAN,0
New York Theatre Workshop,2006-2007,OTHER,1
New York Theatre Workshop,2007-2008,CAUCASIAN,18
New York Theatre Workshop,2007-2008,AFRICAN AMERICAN,7
New York Theatre Workshop,2007-2008,LATINO,3
New York Theatre Workshop,2007-2008,ASIAN AMERICAN,0
New York Theatre Workshop,2007-2008,OTHER,0
New York Theatre Workshop,2008-2009,CAUCASIAN,7
New York Theatre Workshop,2008-2009,AFRICAN AMERICAN,2
New York Theatre Workshop,2008-2009,LATINO,0
New York Theatre Workshop,2008-2009,ASIAN AMERICAN,2
New York Theatre Workshop,2008-2009,OTHER,0
New York Theatre Workshop,2009-2010,CAUCASIAN,24
New York Theatre Workshop,2009-2010,AFRICAN AMERICAN,3
New York Theatre Workshop,2009-2010,LATINO,0
New York Theatre Workshop,2009-2010,ASIAN AMERICAN,0
New York Theatre Workshop,2009-2010,OTHER,10
New York Theatre Workshop,2010-2011,CAUCASIAN,23
New York Theatre Workshop,2010-2011,AFRICAN AMERICAN,3
New York Theatre Workshop,2010-2011,LATINO,0
New York Theatre Workshop,2010-2011,ASIAN AMERICAN,1
New York Theatre Workshop,2010-2011,OTHER,0
New York Theatre Workshop,2011-2012,CAUCASIAN,
New York Theatre Workshop,2011-2012,AFRICAN AMERICAN,
New York Theatre Workshop,2011-2012,LATINO,
New York Theatre Workshop,2011-2012,ASIAN AMERICAN,
New York Theatre Workshop,2011-2012,OTHER,
New York Theatre Workshop,2012-2013,CAUCASIAN,
New York Theatre Workshop,2012-2013,AFRICAN AMERICAN,
New York Theatre Workshop,2012-2013,LATINO,
New York Theatre Workshop,2012-2013,ASIAN AMERICAN,
New York Theatre Workshop,2012-2013,OTHER,
New York Theatre Workshop,2013-2014,CAUCASIAN,18
New York Theatre Workshop,2013-2014,AFRICAN AMERICAN,12
New York Theatre Workshop,2013-2014,LATINO,1
New York Theatre Workshop,2013-2014,ASIAN AMERICAN,1
New York Theatre Workshop,2013-2014,OTHER,0
New York Theatre Workshop,2014-2015,CAUCASIAN,8
New York Theatre Workshop,2014-2015,AFRICAN AMERICAN,3
New York Theatre Workshop,2014-2015,LATINO,2
New York Theatre Workshop,2014-2015,ASIAN AMERICAN,2
New York Theatre Workshop,2014-2015,OTHER,1
Playwrights Horizons,2006-2007,CAUCASIAN,29
Playwrights Horizons,2006-2007,AFRICAN AMERICAN,4
Playwrights Horizons,2006-2007,LATINO,0
Playwrights Horizons,2006-2007,ASIAN AMERICAN,0
Playwrights Horizons,2006-2007,OTHER,0
Playwrights Horizons,2007-2008,CAUCASIAN,36
Playwrights Horizons,2007-2008,AFRICAN AMERICAN,3
Playwrights Horizons,2007-2008,LATINO,1
Playwrights Horizons,2007-2008,ASIAN AMERICAN,1
Playwrights Horizons,2007-2008,OTHER,0
Playwrights Horizons,2008-2009,CAUCASIAN,25
Playwrights Horizons,2008-2009,AFRICAN AMERICAN,8
Playwrights Horizons,2008-2009,LATINO,0
Playwrights Horizons,2008-2009,ASIAN AMERICAN,0
Playwrights Horizons,2008-2009,OTHER,0
Playwrights Horizons,2009-2010,CAUCASIAN,31
Playwrights Horizons,2009-2010,AFRICAN AMERICAN,7
Playwrights Horizons,2009-2010,LATINO,0
Playwrights Horizons,2009-2010,ASIAN AMERICAN,0
Playwrights Horizons,2009-2010,OTHER,0
Playwrights Horizons,2010-2011,CAUCASIAN,40
Playwrights Horizons,2010-2011,AFRICAN AMERICAN,1
Playwrights Horizons,2010-2011,LATINO,1
Playwrights Horizons,2010-2011,ASIAN AMERICAN,0
Playwrights Horizons,2010-2011,OTHER,0
Playwrights Horizons,2011-2012,CAUCASIAN,
Playwrights Horizons,2011-2012,AFRICAN AMERICAN,
Playwrights Horizons,2011-2012,LATINO,
Playwrights Horizons,2011-2012,ASIAN AMERICAN,
Playwrights Horizons,2011-2012,OTHER,
Playwrights Horizons,2012-2013,CAUCASIAN,
Playwrights Horizons,2012-2013,AFRICAN AMERICAN,
Playwrights Horizons,2012-2013,LATINO,
Playwrights Horizons,2012-2013,ASIAN AMERICAN,
Playwrights Horizons,2012-2013,OTHER,
Playwrights Horizons,2013-2014,CAUCASIAN,33
Playwrights Horizons,2013-2014,AFRICAN AMERICAN,3
Playwrights Horizons,2013-2014,LATINO,2
Playwrights Horizons,2013-2014,ASIAN AMERICAN,0
Playwrights Horizons,2013-2014,OTHER,0
Playwrights Horizons,2014-2015,CAUCASIAN,24
Playwrights Horizons,2014-2015,AFRICAN AMERICAN,9
Playwrights Horizons,2014-2015,LATINO,4
Playwrights Horizons,2014-2015,ASIAN AMERICAN,2
Playwrights Horizons,2014-2015,OTHER,0
Primary Stages,2006-2007,CAUCASIAN,18
Primary Stages,2006-2007,AFRICAN AMERICAN,0
Primary Stages,2006-2007,LATINO,0
Primary Stages,2006-2007,ASIAN AMERICAN,1
Primary Stages,2006-2007,OTHER,0
Primary Stages,2007-2008,CAUCASIAN,20
Primary Stages,2007-2008,AFRICAN AMERICAN,2
Primary Stages,2007-2008,LATINO,0
Primary Stages,2007-2008,ASIAN AMERICAN,1
Primary Stages,2007-2008,OTHER,0
Primary Stages,2008-2009,CAUCASIAN,11
Primary Stages,2008-2009,AFRICAN AMERICAN,2
Primary Stages,2008-2009,LATINO,2
Primary Stages,2008-2009,ASIAN AMERICAN,1
Primary Stages,2008-2009,OTHER,0
Primary Stages,2009-2010,CAUCASIAN,10
Primary Stages,2009-2010,AFRICAN AMERICAN,1
Primary Stages,2009-2010,LATINO,1
Primary Stages,2009-2010,ASIAN AMERICAN,0
Primary Stages,2009-2010,OTHER,0
Primary Stages,2010-2011,CAUCASIAN,14
Primary Stages,2010-2011,AFRICAN AMERICAN,3
Primary Stages,2010-2011,LATINO,0
Primary Stages,2010-2011,ASIAN AMERICAN,0
Primary Stages,2010-2011,OTHER,0
Primary Stages,2011-2012,CAUCASIAN,
Primary Stages,2011-2012,AFRICAN AMERICAN,
Primary Stages,2011-2012,LATINO,
Primary Stages,2011-2012,ASIAN AMERICAN,
Primary Stages,2011-2012,OTHER,
Primary Stages,2012-2013,CAUCASIAN,
Primary Stages,2012-2013,AFRICAN AMERICAN,
Primary Stages,2012-2013,LATINO,
Primary Stages,2012-2013,ASIAN AMERICAN,
Primary Stages,2012-2013,OTHER,
Primary Stages,2013-2014,CAUCASIAN,21
Primary Stages,2013-2014,AFRICAN AMERICAN,3
Primary Stages,2013-2014,LATINO,0
Primary Stages,2013-2014,ASIAN AMERICAN,0
Primary Stages,2013-2014,OTHER,0
Primary Stages,2014-2015,CAUCASIAN,9
Primary Stages,2014-2015,AFRICAN AMERICAN,7
Primary Stages,2014-2015,LATINO,0
Primary Stages,2014-2015,ASIAN AMERICAN,0
Primary Stages,2014-2015,OTHER,0
Public Theatre,2006-2007,CAUCASIAN,63
Public Theatre,2006-2007,AFRICAN AMERICAN,19
Public Theatre,2006-2007,LATINO,5
Public Theatre,2006-2007,ASIAN AMERICAN,8
Public Theatre,2006-2007,OTHER,5
Public Theatre,2007-2008,CAUCASIAN,52
Public Theatre,2007-2008,AFRICAN AMERICAN,13
Public Theatre,2007-2008,LATINO,2
Public Theatre,2007-2008,ASIAN AMERICAN,8
Public Theatre,2007-2008,OTHER,1
Public Theatre,2008-2009,CAUCASIAN,70
Public Theatre,2008-2009,AFRICAN AMERICAN,20
Public Theatre,2008-2009,LATINO,3
Public Theatre,2008-2009,ASIAN AMERICAN,3
Public Theatre,2008-2009,OTHER,2
Public Theatre,2009-2010,CAUCASIAN,43
Public Theatre,2009-2010,AFRICAN AMERICAN,19
Public Theatre,2009-2010,LATINO,7
Public Theatre,2009-2010,ASIAN AMERICAN,1
Public Theatre,2009-2010,OTHER,1
Public Theatre,2010-2011,CAUCASIAN,83
Public Theatre,2010-2011,AFRICAN AMERICAN,12
Public Theatre,2010-2011,LATINO,2
Public Theatre,2010-2011,ASIAN AMERICAN,6
Public Theatre,2010-2011,OTHER,10
Public Theatre,2011-2012,CAUCASIAN,
Public Theatre,2011-2012,AFRICAN AMERICAN,
Public Theatre,2011-2012,LATINO,
Public Theatre,2011-2012,ASIAN AMERICAN,
Public Theatre,2011-2012,OTHER,
Public Theatre,2012-2013,CAUCASIAN,
Public Theatre,2012-2013,AFRICAN AMERICAN,
Public Theatre,2012-2013,LATINO,
Public Theatre,2012-2013,ASIAN AMERICAN,
Public Theatre,2012-2013,OTHER,
Public Theatre,2013-2014,CAUCASIAN,65
Public Theatre,2013-2014,AFRICAN AMERICAN,5
Public Theatre,2013-2014,LATINO,4
Public Theatre,2013-2014,ASIAN AMERICAN,20
Public Theatre,2013-2014,OTHER,1
Public Theatre,2014-2015,CAUCASIAN,37
Public Theatre,2014-2015,AFRICAN AMERICAN,50
Public Theatre,2014-2015,LATINO,8
Public Theatre,2014-2015,ASIAN AMERICAN,3
Public Theatre,2014-2015,OTHER,0
Roundabout Theatre,2006-2007,CAUCASIAN,57
Roundabout Theatre,2006-2007,AFRICAN AMERICAN,7
Roundabout Theatre,2006-2007,LATINO,0
Roundabout Theatre,2006-2007,ASIAN AMERICAN,0
Roundabout Theatre,2006-2007,OTHER,
Roundabout Theatre,2007-2008,CAUCASIAN,71
Roundabout Theatre,2007-2008,AFRICAN AMERICAN,10
Roundabout Theatre,2007-2008,LATINO,1
Roundabout Theatre,2007-2008,ASIAN AMERICAN,1
Roundabout Theatre,2007-2008,OTHER,
Roundabout Theatre,2008-2009,CAUCASIAN,86
Roundabout Theatre,2008-2009,AFRICAN AMERICAN,9
Roundabout Theatre,2008-2009,LATINO,1
Roundabout Theatre,2008-2009,ASIAN AMERICAN,0
Roundabout Theatre,2008-2009,OTHER,
Roundabout Theatre,2009-2010,CAUCASIAN,75
Roundabout Theatre,2009-2010,AFRICAN AMERICAN,4
Roundabout Theatre,2009-2010,LATINO,1
Roundabout Theatre,2009-2010,ASIAN AMERICAN,0
Roundabout Theatre,2009-2010,OTHER,
Roundabout Theatre,2010-2011,CAUCASIAN,88
Roundabout Theatre,2010-2011,AFRICAN AMERICAN,3
Roundabout Theatre,2010-2011,LATINO,1
Roundabout Theatre,2010-2011,ASIAN AMERICAN,3
Roundabout Theatre,2010-2011,OTHER,
Roundabout Theatre,2011-2012,CAUCASIAN,
Roundabout Theatre,2011-2012,AFRICAN AMERICAN,
Roundabout Theatre,2011-2012,LATINO,
Roundabout Theatre,2011-2012,ASIAN AMERICAN,
Roundabout Theatre,2011-2012,OTHER,
Roundabout Theatre,2012-2013,CAUCASIAN,
Roundabout Theatre,2012-2013,AFRICAN AMERICAN,
Roundabout Theatre,2012-2013,LATINO,
Roundabout Theatre,2012-2013,ASIAN AMERICAN,
Roundabout Theatre,2012-2013,OTHER,
Roundabout Theatre,2013-2014,CAUCASIAN,69
Roundabout Theatre,2013-2014,AFRICAN AMERICAN,6
Roundabout Theatre,2013-2014,LATINO,1
Roundabout Theatre,2013-2014,ASIAN AMERICAN,1
Roundabout Theatre,2013-2014,OTHER,0
Roundabout Theatre,2014-2015,CAUCASIAN,70
Roundabout Theatre,2014-2015,AFRICAN AMERICAN,9
Roundabout Theatre,2014-2015,LATINO,1
Roundabout Theatre,2014-2015,ASIAN AMERICAN,8
Roundabout Theatre,2014-2015,OTHER,0
Second Stage,2006-2007,CAUCASIAN,34
Second Stage,2006-2007,AFRICAN AMERICAN,1
Second Stage,2006-2007,LATINO,2
Second Stage,2006-2007,ASIAN AMERICAN,3
Second Stage,2006-2007,OTHER,
Second Stage,2007-2008,CAUCASIAN,37
Second Stage,2007-2008,AFRICAN AMERICAN,0
Second Stage,2007-2008,LATINO,0
Second Stage,2007-2008,ASIAN AMERICAN,1
Second Stage,2007-2008,OTHER,
Second Stage,2008-2009,CAUCASIAN,26
Second Stage,2008-2009,AFRICAN AMERICAN,6
Second Stage,2008-2009,LATINO,2
Second Stage,2008-2009,ASIAN AMERICAN,0
Second Stage,2008-2009,OTHER,
Second Stage,2009-2010,CAUCASIAN,13
Second Stage,2009-2010,AFRICAN AMERICAN,3
Second Stage,2009-2010,LATINO,3
Second Stage,2009-2010,ASIAN AMERICAN,6
Second Stage,2009-2010,OTHER,
Second Stage,2010-2011,CAUCASIAN,22
Second Stage,2010-2011,AFRICAN AMERICAN,5
Second Stage,2010-2011,LATINO,1
Second Stage,2010-2011,ASIAN AMERICAN,0
Second Stage,2010-2011,OTHER,
Second Stage,2011-2012,CAUCASIAN,
Second Stage,2011-2012,AFRICAN AMERICAN,
Second Stage,2011-2012,LATINO,
Second Stage,2011-2012,ASIAN AMERICAN,
Second Stage,2011-2012,OTHER,
Second Stage,2012-2013,CAUCASIAN,
Second Stage,2012-2013,AFRICAN AMERICAN,
Second Stage,2012-2013,LATINO,
Second Stage,2012-2013,ASIAN AMERICAN,
Second Stage,2012-2013,OTHER,
Second Stage,2013-2014,CAUCASIAN,23
Second Stage,2013-2014,AFRICAN AMERICAN,3
Second Stage,2013-2014,LATINO,8
Second Stage,2013-2014,ASIAN AMERICAN,2
Second Stage,2013-2014,OTHER,1
Second Stage,2014-2015,CAUCASIAN,15
Second Stage,2014-2015,AFRICAN AMERICAN,11
Second Stage,2014-2015,LATINO,5
Second Stage,2014-2015,ASIAN AMERICAN,1
Second Stage,2014-2015,OTHER,0
Signature Theatre,2006-2007,CAUCASIAN,0
Signature Theatre,2006-2007,AFRICAN AMERICAN,20
Signature Theatre,2006-2007,LATINO,0
Signature Theatre,2006-2007,ASIAN AMERICAN,0
Signature Theatre,2006-2007,OTHER,0
Signature Theatre,2007-2008,CAUCASIAN,12
Signature Theatre,2007-2008,AFRICAN AMERICAN,6
Signature Theatre,2007-2008,LATINO,3
Signature Theatre,2007-2008,ASIAN AMERICAN,8
Signature Theatre,2007-2008,OTHER,3
Signature Theatre,2008-2009,CAUCASIAN,2
Signature Theatre,2008-2009,AFRICAN AMERICAN,24
Signature Theatre,2008-2009,LATINO,0
Signature Theatre,2008-2009,ASIAN AMERICAN,0
Signature Theatre,2008-2009,OTHER,0
Signature Theatre,2009-2010,CAUCASIAN,17
Signature Theatre,2009-2010,AFRICAN AMERICAN,5
Signature Theatre,2009-2010,LATINO,0
Signature Theatre,2009-2010,ASIAN AMERICAN,0
Signature Theatre,2009-2010,OTHER,0
Signature Theatre,2010-2011,CAUCASIAN,15
Signature Theatre,2010-2011,AFRICAN AMERICAN,1
Signature Theatre,2010-2011,LATINO,0
Signature Theatre,2010-2011,ASIAN AMERICAN,0
Signature Theatre,2010-2011,OTHER,0
Signature Theatre,2011-2012,CAUCASIAN,
Signature Theatre,2011-2012,AFRICAN AMERICAN,
Signature Theatre,2011-2012,LATINO,
Signature Theatre,2011-2012,ASIAN AMERICAN,
Signature Theatre,2011-2012,OTHER,
Signature Theatre,2012-2013,CAUCASIAN,
Signature Theatre,2012-2013,AFRICAN AMERICAN,
Signature Theatre,2012-2013,LATINO,
Signature Theatre,2012-2013,ASIAN AMERICAN,
Signature Theatre,2012-2013,OTHER,
Signature Theatre,2013-2014,CAUCASIAN,28
Signature Theatre,2013-2014,AFRICAN AMERICAN,8
Signature Theatre,2013-2014,LATINO,2
Signature Theatre,2013-2014,ASIAN AMERICAN,7
Signature Theatre,2013-2014,OTHER,0
Signature Theatre,2014-2015,CAUCASIAN,37
Signature Theatre,2014-2015,AFRICAN AMERICAN,29
Signature Theatre,2014-2015,LATINO,0
Signature Theatre,2014-2015,ASIAN AMERICAN,1
Signature Theatre,2014-2015,OTHER,0
The New Group,2006-2007,CAUCASIAN,25
The New Group,2006-2007,AFRICAN AMERICAN,0
The New Group,2006-2007,LATINO,0
The New Group,2006-2007,ASIAN AMERICAN,10
The New Group,2006-2007,OTHER,0
The New Group,2007-2008,CAUCASIAN,22
The New Group,2007-2008,AFRICAN AMERICAN,0
The New Group,2007-2008,LATINO,0
The New Group,2007-2008,ASIAN AMERICAN,0
The New Group,2007-2008,OTHER,0
The New Group,2008-2009,CAUCASIAN,28
The New Group,2008-2009,AFRICAN AMERICAN,2
The New Group,2008-2009,LATINO,1
The New Group,2008-2009,ASIAN AMERICAN,1
The New Group,2008-2009,OTHER,0
The New Group,2009-2010,CAUCASIAN,20
The New Group,2009-2010,AFRICAN AMERICAN,1
The New Group,2009-2010,LATINO,1
The New Group,2009-2010,ASIAN AMERICAN,0
The New Group,2009-2010,OTHER,1
The New Group,2010-2011,CAUCASIAN,20
The New Group,2010-2011,AFRICAN AMERICAN,1
The New Group,2010-2011,LATINO,1
The New Group,2010-2011,ASIAN AMERICAN,0
The New Group,2010-2011,OTHER,1
The New Group,2011-2012,CAUCASIAN,
