,year,show,ethnicity,actors,theater,type,nonprofit
342,2014-2015,Skylight,LATINO,0,Golden Theatre,Play,0.0
343,2014-2015,Skylight,ASIAN AMERICAN,0,Golden Theatre,Play,0.0
344,2014-2015,Skylight,OTHER,0,Golden Theatre,Play,0.0
345,2014-2015,The Country House,CAUCASIAN,5,Samuel J. Friedman Theater,Play,1.0
346,2014-2015,The Country House,AFRICAN AMERICAN,1,Samuel J. Friedman Theater,Play,1.0
347,2014-2015,The Country House,LATINO,0,Samuel J. Friedman Theater,Play,1.0
348,2014-2015,The Country House,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1.0
349,2014-2015,The Country House,OTHER,0,Samuel J. Friedman Theater,Play,1.0
350,2014-2015,Airline Highway,CAUCASIAN,11,Samuel J. Friedman Theater,Play,1.0
351,2014-2015,Airline Highway,AFRICAN AMERICAN,5,Samuel J. Friedman Theater,Play,1.0
352,2014-2015,Airline Highway,LATINO,0,Samuel J. Friedman Theater,Play,1.0
353,2014-2015,Airline Highway,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1.0
354,2014-2015,Airline Highway,OTHER,0,Samuel J. Friedman Theater,Play,1.0
355,2014-2015,Constellations,CAUCASIAN,2,Samuel J. Friedman Theater,Play,1.0
356,2014-2015,Constellations,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,1.0
357,2014-2015,Constellations,LATINO,0,Samuel J. Friedman Theater,Play,1.0
358,2014-2015,Constellations,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1.0
359,2014-2015,Constellations,OTHER,0,Samuel J. Friedman Theater,Play,1.0
360,2014-2015,The Real Thing,CAUCASIAN,11,American Airlines Theatre,Play,1.0
361,2014-2015,The Real Thing,AFRICAN AMERICAN,0,American Airlines Theatre,Play,1.0
362,2014-2015,The Real Thing,LATINO,0,American Airlines Theatre,Play,1.0
363,2014-2015,The Real Thing,ASIAN AMERICAN,0,American Airlines Theatre,Play,1.0
364,2014-2015,The Real Thing,OTHER,0,American Airlines Theatre,Play,1.0
365,2014-2015,Disgraced,CAUCASIAN,4,Lyceum Theatre (Lincoln Center),Play,1.0
366,2014-2015,Disgraced,AFRICAN AMERICAN,2,Lyceum Theatre (Lincoln Center),Play,1.0
367,2014-2015,Disgraced,LATINO,0,Lyceum Theatre (Lincoln Center),Play,1.0
368,2014-2015,Disgraced,ASIAN AMERICAN,2,Lyceum Theatre (Lincoln Center),Play,1.0
369,2014-2015,Disgraced,OTHER,1,Lyceum Theatre (Lincoln Center),Play,1.0
370,2014-2015,Love Letters,CAUCASIAN,6,Brooks Atkinson Theater,Play,0.0
371,2014-2015,Love Letters,AFRICAN AMERICAN,0,Brooks Atkinson Theater,Play,0.0
372,2014-2015,Love Letters,LATINO,0,Brooks Atkinson Theater,Play,0.0
373,2014-2015,Love Letters,ASIAN AMERICAN,0,Brooks Atkinson Theater,Play,0.0
374,2014-2015,Love Letters,OTHER,0,Brooks Atkinson Theater,Play,0.0
