COUNTY,GEOID,REGION,CALLED?,PRIOR KNOWN INCIDENCE,INCIDENCE POST-CALL,NOTES
"Swisher, TX",48437,Panhandle,y,,0?,"she gives me the phone number to the museum and the library. the museum: 806-995-2819. library is 806-995-3447. I get no response from the museum. the librarian says she hasn't heard anything about it. She connects me to Bob at the museum (I don't know how she's able to get him on the phone, they must be close by each other). He knows for a fact that they did have it recently bc he worked at the prison. But the little penitentiary thats in town came about in the 90s, and I'm talking about more historically. He says that the county wasn't incorporated until 1890, and if I want to know what they did with the prisoners in the county prison then I might need to call the courthouse to get some older records.  

I end up doing some of my own follow up research and find this history of the county: https://www.tshaonline.org/handbook/entries/swisher-county Based on it, I think its pretty fair to say that there probably wasn't any convict leasing going down in the county."
"Dallam, TX",48111,Panhandle,y,,,"I call but get no response. IT doesn't even look like they accept calls? Need to revisit this, maybe look up a historical society to see what I can find."
"Deaf Smith, TX",48117,Panhandle,y,,,she refers me to the museum (but doesn't give me their phone number). Deaf Smith County Museum doesn't answer when I call. Might need to get Nwao to call them back.
"Jim Hogg, TX",48247,South Texas,y,,,busy line. says to try again later
"Edwards, TX",48137,South Texas,y,,0,"judges office. 830-683-6122. they had a ""lil ol bitty jail"" and no one was ever even kept in it so they didn't do that that much. he says no! "
"Gillespie, TX",48171,South Texas,y,,0,"Says to call the Gillespie county historical society. pioneer museum. 830-997-2835. ""I started working here as a volunteer in 2003 and I've never heard anyone mention convict leasing."" But she says that there is a good case to believe that convict leasing didn't happen in Gillespie: the county was against succession. Out of somewhere around 400 votes, there were only 17 people who voted for secession. So probably no one hired convicts after the war. She's a native, has volunteered since 2003, and says she has never heard anyone mention convict leasing. "
"La Salle, TX",48283,South Texas,y,,,Says that I should give Ana a call back tomorrow. But I need to sniff up the phone number for the deeds office
"Live Oak, TX",48297,South Texas,y,,0,"she transfered me to the county judges office. they transferred me to Nancy Toquat, at 3617862706. i left a messdage on her home machine. Nancy followed up with me on 11/13, telling me that she had followed up with multiple people who were very well-versed in the county's history and no one could verify it. She thinks that they didn't have convict leasing in Live Oak. "
"Zapata, TX",48505,South Texas,y,,0?,"she transfers me to the county clerk at 956-765-9915. they are stumped and give me the phone number for the museum: 956-765-8983. i call the museum and they connect me to Jaime Gonzales, who she says is pretty familiar with the county's history. his number is 956-763-4818. i give him a call right after. he tells me that he doesn't think that they had it there. i ask him why and he says that the county is tiny and didn't even have a jail at that time. i ask him what the industries of the area would have been then and he says farming (corn, beans, watermelon) and ranching. "
"Maverick, TX",48323,South Texas,y,,,"They are gonna give me a call back tomorrow, but they also recommend that I call the library. I'm gonna wait to see if I get a call back and if not, I'll dig up the library's phone number and give them a call. "
"Kendall, TX",48259,South Texas,y,,,"I call but get no response at all. I think I've missed the opening hours, so I will have to call back."
"Kenedy, TX",48261,South Texas,y,,0?,"She transfers me to the district clerk. She says that she doesn't think they did bc she's been there 32 years and never heard of it, and she worked with the woman who was district clerk ahead of her and had never said anything about it. So she thinks it's a no. I do a preliminary internet search and don't see anything about it in kenedy."
"Waller, TX",48473,Upper Gulf Coast,y,,,"On the clerk's advice, I called the Waller county historical society 2819342826. Apparently the number has been disconnected. Instead, I think I need to email them, which I can do on their website. Waller county historical society and commission. wallercountyhistory.org. The website has some interesting information here: "
"Chambers, TX",48071,Upper Gulf Coast,y,,,She was a little snooty and didn't seem to want to talk. Not nearly as friendly as some of the other counties that I called. But she also said she had never heard of convict leasing. 
"Galveston, TX",48167,Upper Gulf Coast,y,1,,(10/18) lots of calling. no answer.  On 10/25 I decide to call the Galveston and Texas History Center within the Rosenberg library at 409.763.8854. No answer. I need to call back and ask to be connected to the Galveston and Texas History Center. 
"Matagorda, TX",48321,Upper Gulf Coast,y,,,Matagorda County Museum. She says that I should look them up on google bc they have weird hours but they might be able to help. Their number is (979) 245-7502
"Montgomery, TX",48339,Upper Gulf Coast,y,,,Texas department of critical research. THere's a prison in huntsville that is worth talking to. less than a mile from the downtown square. call the prison museum. so i call them at (936) 295-2155 to ask if huntsville used convict leasing. she gives me david's number and he is going to get back to me next week (i call them on 10/18)
"Colorado, TX",48089,Upper Gulf Coast,y,,0,"they say to call the local nesabit memorial libray online or the texas state library in austin. i go on the library's website and find this link to an intense overview of colorado county history. i spend a long time reading the sections after the civil war. it's clear that the county didn't have convict leasing. It's also clear that life was so ad hoc in that moment. they didn't have convict leasing, but there are clear examples of former slaveholders saying that they will pay the formerly enslaved who worked for them but then refusing to. they weren't convicts, but it wasn't that different, was it? 
10/18"
"Liberty, TX",48291,Upper Gulf Coast,y,,1,"She tells me to call the Sam Houston Regional Library because thye have a lot of documents and records from the courthouse. they have books from 1876 and prior. she says i could come and look but the library might have a copy of everything. i look up the library phone number and its: (936) 336-8821. i call them. 

Sandra at the Sam Houston Regional Library gives the first absolutely certain yes. She says that Liberty County did have convict leasing! and she knows it beecause she found the information in census records. The family worked on the plantation in the early 1900s. she just happened to stumble upon the information because the people were listed on the census as convict leased (and it was the ancestors of a friend whose family wouldn't give him answers about the family history). This was in Liberty County! she tells me to email samhoustoncenter@tsl.texas.gov to get the records.

This was another really good phone call. (10/25)."
"Walker, TX",48471,Upper Gulf Coast,y,1,1,"They don't have records but the Walker County Historical Commission (936.435.2497 address 1301 Sam Houston Avenue room 218 huntsville TX 77340) or the Huntsville Public Library has some of them. I call the Historic Commission and don't get a response, so I look up the number for the Huntsville Public Library instead, which is: 936-291-5472. They transfer me to Toni in the Genealogy room. She says she would almost bet that it was yes. She says that if youve done any research you've seen convicts working out in fields protected by men on horseback. She said that's what they used in prisons, and they did lease out the labor. She says back then they didn't have a budget for the prison system. But now the prison is partially self-sufficient, but back then that wasn't any kind of plan that they had. So she would almost bet that they did just to make ends meet. And in a lot of historical books you'll see the convicts working and the things that you see there are not things the prison would have had. 

She tells me that if I have any further questions I should go to the Prison Museum and she gives me directions to get there that I will probably not use: that I need to jump on I-45 going north, and the prison has a museum. Old 75 is the name of the road. It's the road for ther Old 75 highway, she says go between HEB and Walgreens going north then I can go off of it and then once I see I-45 on my left, then I can find the Veteran's Museum, the HArt's Museumn, and the Prison's Museum. "
"Brazoria, TX",48039,Upper Gulf Coast,y,1,1,"(i start this recording late). the clerk's office doesn't know but they say they can giveme the number. she hangs up on me before she can give me the number for the historical department: 9798641208. the number they give me connects me ot the museum, and they instead connect me to a librarian: 9798641503. she says yes. There's an extensive history of convict leasing in Brazoria County. She names Retrieve Plantation, which was a plantation and then turned into a jail. (Retrieve farm, then retrieve unit). Darrington Plantation, then turned into Darrington Units. And then the Clemens system, which was similar. Brazoria was Stephen F Austin's county and plantation. There were dozens of big plantations in the area and nearly all of them are turned into jails or prisons that then had convict leasing. 

This was a great call, one of the ones where we got confimred what we wanted to confirm. "
"Wharton, TX",48481,Upper Gulf Coast,y,,0?,"I get connected to the county clerk, Barbara Swath (?), who has been around for a very long time. She says she doesn't know. But she connects me to the museum: 9795322600. i call them and she says that she only knows about world war 2 german prisoners of war (note that the prisoners were housed in prisons). she says she thinks its a no because before there's no record of it and she's never heard of it. 

Wharton Count is a real important one for us; if it becomes a no or a 0 it's a huge one because it borders Fort bend County and Harris County, which we know for a fact had convict leasing. So I keep digging, and I find this overview on Wharton: https://www.tshaonline.org/handbook/entries/wharton-county. It doesn't mention convict leasing, and in fact a lot of farmland in the county is turned to cattle ranching land after the Civil War and a good amount of residents leave. But at the same time, the article on Cotton barely mentions the labor of enslaved people, which leads me to think that there could be other absences. Compare this to how thorough the Colorado County records are, for instance! "
"Jeff Davis, TX",48243,West Texas,y,,,
"Jones, TX",48253,West Texas,y,1,,no response. It says that the number is unavailable. 
"Mason, TX",48319,West Texas,y,,0,"They sent me to Stephanie. Stephanie says she's not sure and says she'll try to find out who I can talk to. She says to contact the sheriff's office at 325-347-6937. Sheriff Lancaster said, ""No, Ma'am, we have never done that here.""  "
"Menard, TX",48327,West Texas,y,,,"she puts me in touch with mr terri kelley - historical over the presidio. his phone number is:  915-726-0888. he doesn't answer, i get forwarded to an ansering ma"
"Hudspeth, TX",48229,West Texas,y,,,he says I should call judge mckinsey and they might know. phone number is 915.369.2321. i call them and they say that the judge is out and that they will call me back. they also say that i can call them back after 10/28.
"Dickens, TX",48125,West Texas,y,,,"She transferred me to the county judge, who isn't in. Instead I talked to the secretary. Secretary has no idea so she connects me to the local public library at 806-271-3714. Librarian hasn't heard of it. She does a search in their books to see what comes up. Nothing comes up in the search. She passes me along to the local historian at Spur-Dickens Museum (actual name is Dickens County Museum ). Their hours are Friday from 1-5, Saturday from 10 to 1pm and their phone number is 806 294 5401, so I have to wait til Friday to give them a call."
"Kimble, TX",48267,West Texas,y,,,"she suggests calling the Kimble County Historical Museum at 325.446.4219. they aren't open everyday but she says they should have the answer. They don't answer the phone call, though they're supposed to be open. I'll have to call them back."
"Floyd, TX",48153,West Texas,y,,,"no response when I call. looks like I called outside of the hours. I call back on 12/6 and they tell me to call the Floyd County Museum. I look up their number and it's 806/983-2415, I call and get no answer. I'll pass this one over to Nwao."
"Yoakum, TX",48501,West Texas,y,,0?,"I call the county clerk's office. they connect me to the library at 806-456-8725. they say that they don't really know. they'll ask around and if they call me back it means they found something, and if they didn't it means they got nothing. THey call me back on 12/7 and say that they're pretty sure that it didn't happen here. I ask them how they know and they say that it's a small town so they can just ask people who are the grandkids and the great grandkids of folks who have been in town for awhile. They also encouraged me to check out Brownfield, which does further my sense that the county may not have had convict leasing: https://brownfieldchamber.com/2018/09/27/history-of-brownfield/"
"Harris, TX",48201,Upper Gulf Coast,n,1,,
"Fort Bend, TX",48157,Upper Gulf Coast,n,1,,
"Milam, TX",48331,Central Texas,,,,
"McLennan, TX",48309,Central Texas,,,,
"Hays, TX",48209,Central Texas,,,,
"Lampasas, TX",48281,Central Texas,,,,
"Mills, TX",48333,Central Texas,,,,
"Coryell, TX",48099,Central Texas,,,,
"Bosque, TX",48035,Central Texas,,,,
"Blanco, TX",48031,Central Texas,,,,
"Hamilton, TX",48193,Central Texas,,,,
"Grimes, TX",48185,Central Texas,,,,
"Lee, TX",48287,Central Texas,,,,
"Llano, TX",48299,Central Texas,,,,
"Madison, TX",48313,Central Texas,,1,,
"Washington, TX",48477,Central Texas,,,,
"Bastrop, TX",48021,Central Texas,,,,
"Limestone, TX",48293,Central Texas,,,,
"Bell, TX",48027,Central Texas,,,,
"Caldwell, TX",48055,Central Texas,,,,
"Leon, TX",48289,Central Texas,,,,
"Robertson, TX",48395,Central Texas,,,,
"Burleson, TX",48051,Central Texas,,,,
"Travis, TX",48453,Central Texas,,1,,
"Van Zandt, TX",48467,East Texas,,,,
"Red River, TX",48387,East Texas,,,,
"Anderson, TX",48001,East Texas,,,,
"Harrison, TX",48203,East Texas,,,,
"Franklin, TX",48159,East Texas,,,,
"Tyler, TX",48457,East Texas,,,,
"Rains, TX",48379,East Texas,,,,
"Newton, TX",48351,East Texas,,,,
"Jasper, TX",48241,East Texas,,,,
"Polk, TX",48373,East Texas,,,,
"Trinity, TX",48455,East Texas,,,,
"Angelina, TX",48005,East Texas,,,,
"Gregg, TX",48183,East Texas,,1,,
"Lamar, TX",48277,East Texas,,,,
"Houston, TX",48225,East Texas,,1,,
"Cass, TX",48067,East Texas,,,,
"Cherokee, TX",48073,East Texas,,1,,
"Titus, TX",48449,East Texas,,,,
"Henderson, TX",48213,East Texas,,,,
"Shelby, TX",48419,East Texas,,,,
"Jefferson, TX",48245,East Texas,,,,
"Morris, TX",48343,East Texas,,,,
"Hardin, TX",48199,East Texas,,,,
"Upshur, TX",48459,East Texas,,,,
"Nacogdoches, TX",48347,East Texas,,,,
"Smith, TX",48423,East Texas,,,,
"Camp, TX",48063,East Texas,,,,
"Sabine, TX",48403,East Texas,,,,
"Marion, TX",48315,East Texas,,,,
"Cooke, TX",48097,North Texas,,,,
"Grayson, TX",48181,North Texas,,,,
"Hood, TX",48221,North Texas,,,,
"Cottle, TX",48101,North Texas,,,,
"Parker, TX",48367,North Texas,,,,
"Baylor, TX",48023,North Texas,,,,
"Hunt, TX",48231,North Texas,,,,
"Collin, TX",48085,North Texas,,1,,
"Young, TX",48503,North Texas,,,,
"Denton, TX",48121,North Texas,,,,
"Dallas, TX",48113,North Texas,,,,
"Montague, TX",48337,North Texas,,,,
"Foard, TX",48155,North Texas,,,,
"Kaufman, TX",48257,North Texas,,,,
"Hardeman, TX",48195,North Texas,,,,
"Tarrant, TX",48439,North Texas,,,,
"Jack, TX",48237,North Texas,,,,
"Erath, TX",48143,North Texas,,,,
"Palo Pinto, TX",48363,North Texas,,,,
"Wichita, TX",48485,North Texas,,,,
"Ellis, TX",48139,North Texas,,,,
"Hall, TX",48191,Panhandle,,,,
"Moore, TX",48341,Panhandle,,,,
"Oldham, TX",48359,Panhandle,,,,
"Hemphill, TX",48211,Panhandle,,,,
"Roberts, TX",48389,Panhandle,,,,
"Castro, TX",48069,Panhandle,,,,
"Ochiltree, TX",48357,Panhandle,,,,
"Potter, TX",48375,Panhandle,,,,
"Hansford, TX",48211,Panhandle,,,,
"Collingsworth, TX",48087,Panhandle,,,,
"Briscoe, TX",48045,Panhandle,,,,
"Hutchinson, TX",48233,Panhandle,,,,
"Randall, TX",48381,Panhandle,,,,
"Hartley, TX",48205,Panhandle,,,,
"Armstrong, TX",48011,Panhandle,,,,
"Carson, TX",48065,Panhandle,,,,
"Donley, TX",48129,Panhandle,,,,
"San Patricio, TX",48409,South Texas,,,,
"Bexar, TX",48029,South Texas,,,,
"Refugio, TX",48391,South Texas,,,,
"Duval, TX",48131,South Texas,,,,
"Kinney, TX",48271,South Texas,,,,
"Wilson, TX",48493,South Texas,,,,
"Victoria, TX",48469,South Texas,,,,
"Kleberg, TX",48273,South Texas,,,,
"Hidalgo, TX",48215,South Texas,,,,
"Brooks, TX",48047,South Texas,,,,
"Calhoun, TX",48057,South Texas,,,,
"Lavaca, TX",48285,South Texas,,,,
"Zavala, TX",48507,South Texas,,,,
"Karnes, TX",48255,South Texas,,,,
"Guadalupe, TX",48187,South Texas,,,,
"Jackson, TX",48239,South Texas,,,,
"Willacy, TX",48489,South Texas,,,,
"McMullen, TX",48311,South Texas,,,,
"Kerr, TX",48265,South Texas,,,,
"Bandera, TX",48019,South Texas,,,,
"Aransas, TX",48007,South Texas,,,,
"Atascosa, TX",48013,South Texas,,,,
"Dimmit, TX",48127,South Texas,,,,
"Goliad, TX",48175,South Texas,,,,
"Cameron, TX",48061,South Texas,,1,,
"Frio, TX",48163,South Texas,,,,
"Uvalde, TX",48463,South Texas,,,,
"DeWitt, TX",48123,South Texas,,,,
"Real, TX",48399,South Texas,,,,
"Jim Wells, TX",48249,South Texas,,,,
"Bee, TX",48025,South Texas,,,,
"Val Verde, TX",48465,South Texas,,,,
"Medina, TX",48325,South Texas,,,,
"Gonzales, TX",48177,South Texas,,,,
"Webb, TX",48479,South Texas,,,,
"Nueces, TX",48355,South Texas,,,,
"Starr, TX",48427,South Texas,,,,
"Comal, TX",48091,South Texas,,,,
"Austin, TX",48015,Upper Gulf Coast,,,,
"Crockett, TX",48105,West Texas,,,,
"Tom Green, TX",48451,West Texas,,,,
"Taylor, TX",48441,West Texas,,1,,
"Sutton, TX",48435,West Texas,,,,
"Gaines, TX",48165,West Texas,,1,,
"Loving, TX",48301,West Texas,,,,
"Lamb, TX",48279,West Texas,,,,
"Schleicher, TX",48413,West Texas,,,,
"Midland, TX",48329,West Texas,,,,
"Kent, TX",48263,West Texas,,,,
"Throckmorton, TX",48447,West Texas,,,,
"Mitchell, TX",48335,West Texas,,1,,
"Coke, TX",48081,West Texas,,,,
"Brewster, TX",48043,West Texas,,,,
"Irion, TX",48235,West Texas,,,,
"Lynn, TX",48305,West Texas,,,,
"Cochran, TX",48079,West Texas,,,,
"Runnels, TX",48399,West Texas,,,,
"Haskell, TX",48207,West Texas,,,,
"Crosby, TX",48107,West Texas,,,,
"Winkler, TX",48495,West Texas,,,,
"Glasscock, TX",48173,West Texas,,,,
"Hockley, TX",48219,West Texas,,,,
"Knox, TX",48275,West Texas,,1,,
"Garza, TX",48169,West Texas,,,,
"McCulloch, TX",48307,West Texas,,,,
"Culberson, TX",48109,West Texas,,,,
"Sterling, TX",48431,West Texas,,,,
"Nolan, TX",48353,West Texas,,1,,
"Shackelford, TX",48417,West Texas,,1,,
"Fisher, TX",48151,West Texas,,1,,
"Coleman, TX",48083,West Texas,,,,
"Pecos, TX",48371,West Texas,,,,
"Upton, TX",48461,West Texas,,,,
"Dawson, TX",48115,West Texas,,1,,
"Andrews, TX",48003,West Texas,,1,,
"Scurry, TX",48415,West Texas,,1,,
"Terrell, TX",48443,West Texas,,,,
"Ward, TX",48475,West Texas,,,,
"Comanche, TX",48093,West Texas,,,,
"Eastland, TX",48133,West Texas,,,,
"Concho, TX",48095,West Texas,,,,
"Stonewall, TX",48433,West Texas,,,,
"Presidio, TX",48377,West Texas,,,,
"Reagan, TX",48383,West Texas,,,,
"Ector, TX",48135,West Texas,,,,
"Callahan, TX",48059,West Texas,,1,,
"Stephens, TX",48429,West Texas,,,,
"Bailey, TX",48017,West Texas,,,,
"Howard, TX",48227,West Texas,,1,,
"Borden, TX",48033,West Texas,,1,,
"Martin, TX",48317,West Texas,,1,,
"Crane, TX",48103,West Texas,,,,
"Hale, TX",48189,West Texas,,,,
"Motley, TX",48345,West Texas,,,,
"Lubbock, TX",48303,West Texas,,,,
"King, TX",48269,West Texas,,,,
"Terry, TX",48445,West Texas,,,,
"Reeves, TX",48389,West Texas,,,,
"Brown, TX",48049,West Texas,,,,
"El Paso, TX",48141,West Texas,,,,
